time_s,MassTrsf.Gas_comps,MassTrsf.Cell_centers,value
8.0,3.0,1.4375,-3.2526379720914477e-23
8.0,3.0,1.5625,-4.385463719697606e-23
8.0,3.0,1.6875,-2.1520475349146348e-23
8.0,3.0,1.8125,1.7537692292241687e-24
8.0,3.0,1.9375,3.148225437147585e-23
8.0,3.0,2.0625,5.354341030006773e-23
8.0,3.0,2.1875,4.474993911766737e-23
8.0,3.0,2.3125,4.9086236277926823e-23
8.0,3.0,2.4375,2.5801505769382722e-23
8.0,1.0,0.0625,1.0000000000000004
8.0,1.0,0.1875,0.9999999999999999
8.0,1.0,0.3125,1.0
8.0,1.0,0.4375,1.0000000000000002
8.0,1.0,0.5625,1.0000000000000002
8.0,1.0,0.6875,0.9999999999999999
8.0,1.0,0.8125,1.0
8.0,1.0,0.9375,0.9999999999999999
8.0,1.0,1.0625,1.0000000000000002
8.0,1.0,1.1875,1.0
8.0,1.0,1.3125,0.9999999999999993
8.0,1.0,1.4375,0.9999999999999999
8.0,1.0,1.5625,0.9999999999999998
8.0,1.0,1.6875,1.0
8.0,1.0,1.8125,1.0000000000000002
8.0,1.0,1.9375,1.0000000000000002
8.0,1.0,2.0625,1.0000000000000002
8.0,1.0,2.1875,1.0
8.0,1.0,2.3125,1.0000000000000002
8.0,1.0,2.4375,0.9999999999999997
8.0,2.0,0.0625,-4.486752360901876e-23
8.0,2.0,0.1875,-2.2962143432684478e-23
8.0,2.0,0.3125,5.39842610734753e-23
8.0,2.0,0.4375,-8.503814416942755e-23
8.0,2.0,0.5625,1.9108421149081866e-23
8.0,2.0,0.6875,1.6557543845369692e-22
8.0,2.0,0.8125,3.887856632388894e-22
8.0,2.0,0.9375,-8.264976107414575e-24
8.0,2.0,1.0625,-5.202111162718183e-22
8.0,2.0,1.1875,-1.5950498830251921e-22
8.0,2.0,1.3125,4.169184264926587e-22
8.0,2.0,1.4375,4.044848331119051e-22
8.0,2.0,1.5625,3.680893357085962e-22
8.0,2.0,1.6875,6.475085854642187e-22
8.0,2.0,1.8125,8.920803556030852e-22
8.0,2.0,1.9375,8.192143598778149e-22
